country,gfis_score,gfis_rank,gov_score,econ_score,conflict_score,football_score,infra_score,squad_score
Germany,89.56,1,0.8596913781348603,0.9131587272794219,1.0,0.8055555555555557,0.9626646208924691,0.7142857142857143
Netherlands,89.08,2,0.9005898658761778,0.9082828994780485,1.0,0.9166666666666666,0.5794655414908579,1.0
Uruguay,87.75,3,0.8104120480702054,0.8486033494273625,1.0,0.9166666666666666,0.670630354174658,1.0
England,87.23,4,0.7864111425159934,0.8949317304017756,1.0,0.9166666666666666,0.7220304308911905,0.85
Switzerland,85.67,5,0.9656828460141689,0.8977209765810963,1.0,1.0,0.4258406853343562,0.65
Sweden,85.64,6,0.9142913437619278,0.8346816968842776,1.0,0.9166666666666666,0.4054468738013042,1.0
Norway,85.11,7,0.9579106552105466,0.8968930016983894,1.0,1.0,0.16641094489195754,1.0
Japan,84.85,8,0.9098399630876843,0.9316488832415684,1.0,1.0,0.2523334611942207,0.8892857142857143
New Zealand,83.85,9,0.9557769957674958,0.8905682806548977,1.0,1.0,0.09148446490218642,1.0
Australia,83.82,10,0.9048800848284246,0.905324935526151,1.0,0.9166666666666666,0.22593018795550437,1.0
France,83.38,11,0.7386272382225033,0.8543380444624789,1.0,1.0,0.7670374632399949,0.4285714285714286
Spain,81.12,12,0.6925601301521991,0.8087458068214628,1.0,0.8055555555555557,0.7276563099347909,0.7142857142857143
Brazil,80.74,13,0.38171017905482335,0.8736014626774224,1.0,0.6666666666666666,1.0,1.0
Belgium,80.59,14,0.7756140373750744,0.8772291892373587,1.0,0.8333333333333334,0.47583429228998847,0.7285714285714285
Portugal,80.54,15,0.7448910903410526,0.8747969167698311,1.0,0.9166666666666666,0.3181178877381409,0.9
Austria,80.4,16,0.8533369692345829,0.8826934379661313,1.0,1.0,0.27764991689042323,0.5928571428571429
Canada,80.32,17,0.8642683032621454,0.8633558636534527,1.0,0.9166666666666666,0.08867152538038614,1.0
South Korea,79.93,18,0.8013375208979474,0.9289507724502963,1.0,0.7222222222222223,0.3326300984528832,0.9142857142857144
Croatia,79.12,19,0.632081429962705,0.8916092094522771,1.0,0.7777777777777778,0.4291650684055747,1.0
Qatar,79.12,19,0.7363622437272828,0.9707893153193408,1.0,0.9166666666666666,0.07211354046797085,1.0
United States,79.08,21,0.7192719698987862,0.9041184851151265,1.0,0.8333333333333334,0.38959212376933894,0.7785714285714286
Scotland,79.07,22,0.7863168139880206,0.9063900470256119,1.0,1.0,0.2119294207901803,0.6571428571428571
Czechia,75.56,23,0.7914808984602064,0.9265054032262727,1.0,0.7222222222222223,0.0,1.0
Cape Verde,75.29,24,0.673197583141337,0.7882384585267845,1.0,1.0,0.0,1.0
Paraguay,74.47,25,0.3688038811510994,0.8928341072559474,1.0,0.9166666666666666,0.3300728807057921,1.0
Argentina,73.36,26,0.46129763292616804,0.3912773937571681,1.0,1.0,0.8198440097174275,0.5964285714285714
Panama,73.23,27,0.4731081583608287,0.844472280880766,1.0,1.0,0.07352001022887099,1.0
Saudi Arabia,73.15,28,0.5684583489641613,0.9248137048022531,1.0,0.638888888888889,0.22171077867280395,1.0
Morocco,72.62,29,0.39522552546381684,0.8339242966787722,1.0,0.9166666666666666,0.2301495972382048,1.0
Senegal,71.24,30,0.489304074414814,0.9314122116746217,1.0,0.9166666666666666,0.23462472829561434,0.5214285714285715
Jordan,69.86,31,0.5185242236236094,0.7159120480971735,1.0,0.9166666666666666,0.0,1.0
Uzbekistan,68.95,32,0.3684812838464033,0.8831644851299374,1.0,0.888888888888889,0.0,1.0
Algeria,68.35,33,0.33094890669776605,0.7865249736036188,1.0,0.8055555555555557,0.19000127860887353,1.0
Ghana,67.38,34,0.48471056448644,0.8801593305461775,0.7777777777777778,0.75,0.2525891829689298,1.0
Curaçao,66.49,35,0.6369370088875121,0.6728768698101097,1.0,0.8055555555555557,0.0,0.6571428571428571
Colombia,66.16,36,0.3800334095079092,0.8328174174693663,0.7777777777777778,0.8055555555555557,0.30258278992456206,1.0
Ecuador,65.74,37,0.3555026830762591,0.9209318580534636,0.7777777777777778,0.8333333333333334,0.19140774836977367,1.0
Egypt,65.64,38,0.3231070680873434,0.809556889235064,1.0,0.638888888888889,0.16359800537015726,1.0
Türkiye,64.41,39,0.34445430936584776,0.7174921234300133,1.0,0.9166666666666666,0.15266589950134252,0.5714285714285714
Tunisia,64.16,40,0.39923543300710107,0.7258612552672858,1.0,0.8055555555555557,0.16615522311724842,0.5714285714285714
Côte d'Ivoire,62.61,41,0.3575899370055848,0.9320994296801878,1.0,0.6944444444444445,0.11366832885820226,0.4357142857142857
Bosnia and Herzegovina,59.51,42,0.37987709444139084,0.8008314283164955,1.0,0.25,0.07633294975067126,1.0
Iran,57.98,43,0.199778273421209,0.7769860581170585,0.7777777777777778,0.6944444444444445,0.16474875335634828,1.0
Mexico,55.0,44,0.31368638518904207,0.9239362709617978,0.7777777777777778,0.4166666666666667,0.511443549418233,0.15
South Africa,53.44,45,0.43117052524317956,0.46412681812001677,0.7777777777777778,0.4444444444444445,0.11648126838000254,1.0
DR Congo,36.99,46,0.04244166934847806,0.8637427376686474,0.22222222222222224,0.6666666666666666,0.0707070707070707,0.6571428571428571
Iraq,32.96,47,0.056989849015345054,0.7620191562567806,0.22222222222222224,0.25,0.07211354046797085,1.0
Haiti,30.6,48,0.08925046561540699,0.6858878154521715,0.0,0.6666666666666666,0.07352001022887099,0.7428571428571429
