country,gfis_score,mes_score,mes_live,tournament_adjustment,sci_score,ranking_score,historical_score,efficiency_score,fifa_rank
France,83.38,45.14,45.14,0.0,52.17,1.0,0.7686860380116959,0.0065909839869521,1
Spain,81.12,41.7,41.7,0.0,46.42,0.988095238095238,0.6205866228070176,0.0,2
Argentina,73.36,54.89,54.89,0.0,82.22,0.9761904761904762,0.8068957115009747,0.7394469010753897,3
England,87.23,39.7,39.7,0.0,49.53,0.9642857142857144,0.6769462719298246,0.0431737865919805,4
Portugal,80.54,64.0,64.0,0.0,52.85,0.9523809523809524,0.5631030701754386,0.2332785569917805,5
Brazil,80.74,49.91,49.91,0.0,91.5,0.9404761904761904,0.954419191919192,0.8646827289840466,6
Netherlands,89.08,40.29,40.29,0.0,79.73,0.9285714285714286,0.8020069112174375,0.7110783454039152,7
Morocco,72.62,55.65,55.65,0.0,46.93,0.9166666666666666,0.3074805068226121,0.3312535448059074,8
Belgium,80.59,52.84,52.84,0.0,58.58,0.9047619047619048,0.4523721161879057,0.503203452475106,9
Germany,89.56,53.62,53.62,0.0,90.78,0.8928571428571429,0.9976315789473684,0.8385627150248828,10
Croatia,79.12,52.92,52.92,0.0,86.07,0.8809523809523809,0.6871345029239766,1.0,11
Colombia,66.16,20.68,20.68,0.0,54.45,0.8571428571428572,0.3243908382066277,0.5415972259322119,13
Senegal,71.24,44.58,44.58,0.0,53.37,0.8452380952380952,0.3862573099415204,0.4681201504587254,14
Mexico,55.0,30.83,30.83,0.0,56.76,0.8333333333333334,0.2759373925008599,0.6567475000807789,15
United States,79.08,40.61,40.61,0.0,56.2,0.8214285714285714,0.3789606592238171,0.5599474039431261,16
Uruguay,87.75,60.04,60.04,0.0,83.13,0.8095238095238095,0.668609022556391,0.987287944742776,17
Japan,84.85,36.3,36.3,0.0,44.76,0.7976190476190477,0.2263575605680869,0.422512112371934,18
Switzerland,85.67,32.93,32.93,0.0,50.79,0.7857142857142857,0.3157041910331384,0.5025303746524857,19
Iran,57.98,40.69,40.69,0.0,39.0,0.7619047619047619,0.0698586744639376,0.4375934692949786,21
Türkiye,64.41,49.75,49.75,0.0,72.91,0.75,0.6474415204678362,0.7875675605095885,22
Ecuador,65.74,42.12,42.12,0.0,43.07,0.7380952380952381,0.2146929824561403,0.4275555334936525,23
Austria,80.4,41.72,41.72,0.0,68.5,0.7261904761904762,0.4930868838763575,0.8271852718861492,24
South Korea,79.93,42.43,42.43,0.0,51.38,0.7142857142857143,0.2594497607655502,0.6111071889379358,25
Australia,83.82,58.83,58.83,0.0,44.55,0.6904761904761905,0.1622807017543859,0.5402745680164766,27
Algeria,68.35,29.04,29.04,0.0,38.13,0.6785714285714286,0.1652046783625731,0.3846807592482278,28
Egypt,65.64,47.5,47.5,0.0,34.35,0.6666666666666667,0.0888888888888888,0.3643796298408618,29
Canada,80.32,42.5,42.5,0.0,22.84,0.6547619047619048,0.0,0.1618525524186691,30
Norway,85.11,43.12,43.12,0.0,25.48,0.6428571428571428,0.2020955165692008,0.0583885933353249,31
Panama,73.23,35.83,35.83,0.0,28.84,0.6190476190476191,0.0,0.3341480078040594,33
Côte d'Ivoire,62.61,53.61,53.61,0.0,19.65,0.6071428571428572,0.117495126705653,0.008920726305422,34
Sweden,85.64,52.55,52.55,0.0,67.08,0.5595238095238095,0.5930555555555556,0.8082759770388981,38
Paraguay,74.47,52.31,52.31,0.0,49.04,0.5357142857142857,0.2803545321637427,0.645802085085252,40
Czechia,75.56,35.83,35.83,0.0,30.3,0.5238095238095238,0.1100877192982456,0.3337503945890717,41
Scotland,79.07,43.7,43.7,0.0,26.34,0.5,0.0744883040935672,0.2807395031992357,43
Tunisia,64.16,45.97,45.97,0.0,31.13,0.4880952380952381,0.0735623781676413,0.4087249322746881,44
DR Congo,36.99,49.17,49.17,0.0,20.4,0.4642857142857143,0.0,0.2199228040563657,46
Uzbekistan,68.95,47.5,47.5,0.0,22.0,0.4166666666666666,0.0,0.28952560391404,50
Qatar,79.12,30.0,30.0,0.0,22.88,0.3571428571428571,0.0,0.3488693259823878,55
Iraq,32.96,35.83,35.83,0.0,22.15,0.3333333333333333,0.0,0.345385110884126,57
South Africa,53.44,37.78,37.78,0.0,30.11,0.2976190476190476,0.1030214424951267,0.4764825665682925,60
Saudi Arabia,73.15,40.53,40.53,0.0,33.77,0.2857142857142857,0.1386695906432748,0.5443892217262681,61
Jordan,69.86,47.5,47.5,0.0,20.59,0.2619047619047618,0.0,0.3510393195962175,63
Bosnia and Herzegovina,59.51,41.67,41.67,0.0,25.06,0.2380952380952381,0.1100877192982456,0.3813578131685377,65
Cape Verde,75.29,47.5,47.5,0.0,17.26,0.1904761904761904,0.0,0.3124990104829883,69
Ghana,67.38,33.0,33.0,0.0,37.86,0.1309523809523809,0.3105263157894736,0.592979130190177,74
Curaçao,66.49,47.5,47.5,0.0,14.62,0.0357142857142857,0.0,0.3432151172702963,82
Haiti,30.6,35.83,35.83,0.0,13.11,0.0238095238095238,0.0,0.3128046433863446,83
New Zealand,83.85,38.75,38.75,0.0,16.5,0.0,0.0333333333333333,0.3833566032049976,85
