team,mes_score,mes_rank,mes_live,tournament_adjustment,elasticity_score,collapse_score,penalty_score
Portugal,64.0,1,64.0,0.0,0.2,0.8857142857142857,1.0
Uruguay,60.04,2,60.04,0.0,0.1271186440677966,0.8559322033898304,1.0
Australia,58.83,3,58.83,0.0,0.4583333333333333,0.8,0.5
Morocco,55.65,4,55.65,0.0,0.0434782608695652,0.8260869565217391,1.0
Argentina,54.89,5,54.89,0.0,0.0568181818181818,0.931818181818182,0.8
Germany,53.62,6,53.62,0.0,0.0669642857142857,0.7410714285714286,1.0
Côte d'Ivoire,53.61,7,53.61,0.0,0.4444444444444444,0.6666666666666667,0.5
Croatia,52.92,8,52.92,0.0,0.0999999999999999,0.6833333333333333,1.0
Belgium,52.84,9,52.84,0.0,0.0784313725490196,0.7058823529411765,1.0
Sweden,52.55,10,52.55,0.0,0.0196078431372549,0.7647058823529411,1.0
Paraguay,52.31,11,52.31,0.0,0.1481481481481481,0.6111111111111112,1.0
Brazil,49.91,12,49.91,0.0,0.1052631578947368,0.8771929824561404,0.6
Türkiye,49.75,13,49.75,0.0,0.1,0.95,0.5
DR Congo,49.17,14,49.17,0.0,0.3333333333333333,0.6666666666666667,0.5
Jordan,47.5,17,47.5,0.0,0.0,1.0,0.5
Egypt,47.5,17,47.5,0.0,0.0,1.0,0.5
Curaçao,47.5,17,47.5,0.0,0.0,1.0,0.5
Uzbekistan,47.5,17,47.5,0.0,0.0,1.0,0.5
Cape Verde,47.5,17,47.5,0.0,0.0,1.0,0.5
Tunisia,45.97,20,45.97,0.0,0.0833333333333333,0.8611111111111112,0.5
France,45.14,21,45.14,0.0,0.0753424657534246,0.9178082191780822,0.4
Senegal,44.58,22,44.58,0.0,0.0,0.9166666666666669,0.5
Scotland,43.7,23,43.7,0.0,0.0,0.8913043478260869,0.5
Norway,43.12,24,43.12,0.0,0.0,0.875,0.5
Canada,42.5,25,42.5,0.0,0.1666666666666666,0.6666666666666667,0.5
South Korea,42.43,26,42.43,0.0,0.0789473684210526,0.4078947368421053,1.0
Ecuador,42.12,27,42.12,0.0,0.0,0.8461538461538461,0.5
Austria,41.72,28,41.72,0.0,0.0517241379310344,0.7758620689655172,0.5
Spain,41.7,29,41.7,0.0,0.0895522388059701,0.9104477611940298,0.25
Bosnia and Herzegovina,41.67,30,41.67,0.0,0.0,0.8333333333333334,0.5
Iran,40.69,31,40.69,0.0,0.0,0.8055555555555556,0.5
United States,40.61,32,40.61,0.0,0.0405405405405405,0.7567567567567568,0.5
Saudi Arabia,40.53,33,40.53,0.0,0.0789473684210526,0.7105263157894737,0.5
Netherlands,40.29,34,40.29,0.0,0.0909090909090909,0.8090909090909091,0.3333333333333333
England,39.7,35,39.7,0.0,0.0202702702702702,0.9324324324324323,0.25
New Zealand,38.75,36,38.75,0.0,0.0,0.75,0.5
South Africa,37.78,37,37.78,0.0,0.0,0.7222222222222222,0.5
Japan,36.3,38,36.3,0.0,0.12,0.9,0.0
Czechia,35.83,40,35.83,0.0,0.0,0.6666666666666667,0.5
Panama,35.83,40,35.83,0.0,0.0,0.6666666666666667,0.5
Iraq,35.83,40,35.83,0.0,0.0,0.6666666666666667,0.5
Haiti,35.83,40,35.83,0.0,0.0,0.6666666666666667,0.5
Ghana,33.0,43,33.0,0.0,0.0666666666666666,0.8666666666666667,0.0
Switzerland,32.93,44,32.93,0.0,0.0975609756097561,0.8292682926829268,0.0
Mexico,30.83,45,30.83,0.0,0.0416666666666666,0.8333333333333334,0.0
Qatar,30.0,46,30.0,0.0,0.0,0.5,0.5
Algeria,29.04,47,29.04,0.0,0.0769230769230769,0.3846153846153846,0.5
Colombia,20.68,48,20.68,0.0,0.0,0.5909090909090908,0.0
