name,national_team,club,league,style_fit,age_score,tournament_perf,tps_static,tps_live,top3_clubs,tps_rank,tournament_goals,tournament_assists,tournament_minutes
Fares Chaibi,Algeria,Eintracht Frankfurt,Bundesliga,0.9614,0.6667,0.0,51.79,51.79,Bournemouth (PL): 0.979 | Atletico Madrid (La Liga): 0.979,1,0,0,0
Ramy Bensebaini,Algeria,Borussia Dortmund,Bundesliga,0.9612,0.6667,0.0,51.78,51.78,Bournemouth (PL): 0.979 | Atletico Madrid (La Liga): 0.979,2,0,0,0
Nilson Angulo,Ecuador,Sunderland,Outside Top 5,0.897,0.7867,0.0,51.61,51.61,Brest (Ligue 1): 0.93 | Burnley (PL): 0.922,3,0,0,0
Hicham Boudaoui,Algeria,Nice,Ligue 1,0.9559,0.6667,0.0,51.57,51.57,Bournemouth (PL): 0.979 | Atletico Madrid (La Liga): 0.979,4,0,0,0
Nabil Bentaleb,Algeria,Lille,Ligue 1,0.9497,0.6667,0.0,51.32,51.32,Bournemouth (PL): 0.979 | Atletico Madrid (La Liga): 0.979,5,0,0,0
Aissa Mandi,Algeria,Lille,Ligue 1,0.9497,0.6667,0.0,51.32,51.32,Bournemouth (PL): 0.979 | Atletico Madrid (La Liga): 0.979,5,0,0,0
Hannibal Mejbri,Tunisia,Burnley,Outside Top 5,0.9674,0.6267,0.0,51.23,51.23,Brest (Ligue 1): 0.977 | Burnley (PL): 0.967,7,0,0,0
Julian Ryerson,Norway,Borussia Dortmund,Bundesliga,0.971,0.6133,0.0,51.11,51.11,Borussia Dortmund (Bundesliga): 0.971 | Juventus (serie A): 0.958,8,0,0,0
Mohamed Amine Amoura,Algeria,Wolfsburg,Bundesliga,0.9439,0.6667,0.0,51.09,51.09,Bournemouth (PL): 0.979 | Atletico Madrid (La Liga): 0.979,9,0,0,0
Samir Chergui,Algeria,Paris FC,Ligue 1,0.9409,0.6667,0.0,50.97,50.97,Bournemouth (PL): 0.979 | Atletico Madrid (La Liga): 0.979,10,0,0,0
Brahim Diaz,Morocco,Real Madrid,La Liga,0.9533,0.64,0.0,50.93,50.93,Como (serie A): 0.97 | Manchester City (PL): 0.963,11,0,0,0
Jonas Adjetey,Ghana,Wolfsburg,Bundesliga,0.9587,0.62,0.0,50.75,50.75,Brentford (PL): 0.969 | Real Sociedad (La Liga): 0.969,12,0,0,0
Yassine Gessime,Morocco,Strasbourg,Ligue 1,0.9395,0.64,0.0,50.38,50.38,Como (serie A): 0.97 | Manchester City (PL): 0.963,13,0,0,0
Samir El Mourabet,Morocco,Strasbourg,Ligue 1,0.9395,0.64,0.0,50.38,50.38,Como (serie A): 0.97 | Manchester City (PL): 0.963,13,0,0,0
